"name","id","tags","state_breakdown","waste_percentage","machine_type","coal_overhead","petroleum_overhead","natural_gas_overhead","nuclear_overhead","solar/pv_overhead","biomass_overhead","wind_overhead","hydroelectric_overhead","geothermal_overhead"
"street lighting",349,"{""lighting"":0,""other-lighting"":0}","",0.87,"","","","","","","","","",""
"ghost quads",350,"{}","",0,"","","","","","","","","",""
"industrial sector",1000,"{}","",0,0,0,0,0,0,0,0,0,0,""
"industrial-electricity",1001,"{}","",0,0,0,0,0,0,0,0,0,0,""
"industrial-petroleum",1002,"{}","",0,0,0,0,0,0,0,0,0,0,""
"industrial-natural gas",1003,"{}","",0,0,0,0,0,0,0,0,0,0,""
"industrial-coal",1004,"{}","",0,0,0,0,0,0,0,0,0,0,""
"industrial-other",1006,"{}","",0,0,0,0,0,0,0,0,0,0,""
"manufacturing",1007,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,0,""
"energy materials in products",1008,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,0,""
"food",1009,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"grain and oilseed milling",1010,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"sugar manufacturing",1012,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"fruit and vegetable preserving and specialty food",1013,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"dairy product",1014,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"animal slaughtering and processing",1015,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"wet corn milling",1011,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"grain and oilseed milling (passthrough1)",1010,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"sugar manufacturing (passthrough1)",1012,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"fruit and vegetable preserving and specialty food (passthrough1)",1013,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"dairy product (passthrough1)",1014,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"animal slaughtering and processing (passthrough1)",1015,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"beverage and tobacco products",1016,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"beverages",1017,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"tobacco",1018,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"textile mills",1019,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":null}","",0,0,0,0,0,0,0,0,0,"",""
"textile product mills",1020,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":null}","",0,0,0,0,0,0,0,0,0,"",""
"apparel",1021,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":null}","",0,0,0,0,0,0,0,0,0,"",""
"leather and allied products",1022,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"wood products",1023,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0.21,0,0,0,0,0,0,0,0,"",""
"sawmills",1024,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"veneer, plywood, and engineered woods",1025,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
